,Station,Arrive,Depart,Train,index
1972,東京,2021-12-01 00:05:00,2021-12-01 00:05:00,00-05-武蔵小金井-快速,0.0
1973,神田(東京),2021-12-01 00:07:00,2021-12-01 00:07:00,00-05-武蔵小金井-快速,1.0
1974,御茶ノ水,2021-12-01 00:09:00,2021-12-01 00:09:00,00-05-武蔵小金井-快速,2.0
1975,四ツ谷,2021-12-01 00:14:00,2021-12-01 00:14:00,00-05-武蔵小金井-快速,3.0
1976,新宿,2021-12-01 00:20:00,2021-12-01 00:20:00,00-05-武蔵小金井-快速,4.0
1977,中野(東京),2021-12-01 00:24:00,2021-12-01 00:24:00,00-05-武蔵小金井-快速,5.0
1978,高円寺,2021-12-01 00:26:00,2021-12-01 00:26:00,00-05-武蔵小金井-快速,6.0
1979,阿佐ケ谷,2021-12-01 00:28:00,2021-12-01 00:28:00,00-05-武蔵小金井-快速,7.0
1980,荻窪,2021-12-01 00:30:00,2021-12-01 00:30:00,00-05-武蔵小金井-快速,8.0
1981,西荻窪,2021-12-01 00:32:00,2021-12-01 00:32:00,00-05-武蔵小金井-快速,9.0
1982,吉祥寺,2021-12-01 00:35:00,2021-12-01 00:35:00,00-05-武蔵小金井-快速,10.0
1983,三鷹,2021-12-01 00:37:00,2021-12-01 00:37:00,00-05-武蔵小金井-快速,11.0
1984,武蔵境,2021-12-01 00:40:00,2021-12-01 00:40:00,00-05-武蔵小金井-快速,12.0
1985,東小金井,2021-12-01 00:42:00,2021-12-01 00:42:00,00-05-武蔵小金井-快速,13.0
1986,武蔵小金井,2021-12-01 00:45:00,,00-05-武蔵小金井-快速,14.0
5542,東京,2021-11-30 04:39:00,2021-11-30 04:39:00,04-39-高尾-快速,0.0
5543,神田(東京),2021-11-30 04:41:00,2021-11-30 04:41:00,04-39-高尾-快速,1.0
5544,御茶ノ水,2021-11-30 04:43:00,2021-11-30 04:43:00,04-39-高尾-快速,2.0
5545,四ツ谷,2021-11-30 04:48:00,2021-11-30 04:48:00,04-39-高尾-快速,3.0
5546,新宿,2021-11-30 04:54:00,2021-11-30 04:54:00,04-39-高尾-快速,4.0
5547,中野(東京),2021-11-30 04:58:00,2021-11-30 04:58:00,04-39-高尾-快速,5.0
5548,高円寺,2021-11-30 05:00:00,2021-11-30 05:00:00,04-39-高尾-快速,6.0
5549,阿佐ケ谷,2021-11-30 05:02:00,2021-11-30 05:02:00,04-39-高尾-快速,7.0
5550,荻窪,2021-11-30 05:04:00,2021-11-30 05:04:00,04-39-高尾-快速,8.0
5551,西荻窪,2021-11-30 05:06:00,2021-11-30 05:06:00,04-39-高尾-快速,9.0
5552,吉祥寺,2021-11-30 05:08:00,2021-11-30 05:08:00,04-39-高尾-快速,10.0
5553,三鷹,2021-11-30 05:12:00,2021-11-30 05:12:00,04-39-高尾-快速,11.0
5554,武蔵境,2021-11-30 05:14:00,2021-11-30 05:14:00,04-39-高尾-快速,12.0
5555,東小金井,2021-11-30 05:17:00,2021-11-30 05:17:00,04-39-高尾-快速,13.0
5556,武蔵小金井,2021-11-30 05:19:00,2021-11-30 05:19:00,04-39-高尾-快速,14.0
5557,国分寺,2021-11-30 05:22:00,2021-11-30 05:22:00,04-39-高尾-快速,15.0
5558,西国分寺,2021-11-30 05:24:00,2021-11-30 05:24:00,04-39-高尾-快速,16.0
5559,国立,2021-11-30 05:26:00,2021-11-30 05:26:00,04-39-高尾-快速,17.0
5560,立川,2021-11-30 05:29:00,2021-11-30 05:29:00,04-39-高尾-快速,18.0
5561,日野(東京),2021-11-30 05:32:00,2021-11-30 05:32:00,04-39-高尾-快速,19.0
5562,豊田,2021-11-30 05:35:00,2021-11-30 05:35:00,04-39-高尾-快速,20.0
5563,八王子,2021-11-30 05:40:00,2021-11-30 05:40:00,04-39-高尾-快速,21.0
5564,西八王子,2021-11-30 05:43:00,2021-11-30 05:43:00,04-39-高尾-快速,22.0
5565,高尾(東京),2021-11-30 05:47:00,,04-39-高尾-快速,23.0
1948,東京,2021-11-30 04:59:00,2021-11-30 04:59:00,04-59-高尾-快速,0.0
1949,神田(東京),2021-11-30 05:01:00,2021-11-30 05:01:00,04-59-高尾-快速,1.0
1950,御茶ノ水,2021-11-30 05:05:00,2021-11-30 05:05:00,04-59-高尾-快速,2.0
1951,四ツ谷,2021-11-30 05:09:00,2021-11-30 05:09:00,04-59-高尾-快速,3.0
1952,新宿,2021-11-30 05:16:00,2021-11-30 05:16:00,04-59-高尾-快速,4.0
1953,中野(東京),2021-11-30 05:20:00,2021-11-30 05:20:00,04-59-高尾-快速,5.0
1954,高円寺,2021-11-30 05:22:00,2021-11-30 05:22:00,04-59-高尾-快速,6.0
1955,阿佐ケ谷,2021-11-30 05:24:00,2021-11-30 05:24:00,04-59-高尾-快速,7.0
1956,荻窪,2021-11-30 05:26:00,2021-11-30 05:26:00,04-59-高尾-快速,8.0
1957,西荻窪,2021-11-30 05:28:00,2021-11-30 05:28:00,04-59-高尾-快速,9.0
1958,吉祥寺,2021-11-30 05:30:00,2021-11-30 05:30:00,04-59-高尾-快速,10.0
1959,三鷹,2021-11-30 05:34:00,2021-11-30 05:34:00,04-59-高尾-快速,11.0
1960,武蔵境,2021-11-30 05:36:00,2021-11-30 05:36:00,04-59-高尾-快速,12.0
1961,東小金井,2021-11-30 05:38:00,2021-11-30 05:38:00,04-59-高尾-快速,13.0
1962,武蔵小金井,2021-11-30 05:42:00,2021-11-30 05:42:00,04-59-高尾-快速,14.0
1963,国分寺,2021-11-30 05:44:00,2021-11-30 05:44:00,04-59-高尾-快速,15.0
1964,西国分寺,2021-11-30 05:46:00,2021-11-30 05:46:00,04-59-高尾-快速,16.0
1965,国立,2021-11-30 05:49:00,2021-11-30 05:49:00,04-59-高尾-快速,17.0
1966,立川,2021-11-30 05:53:00,2021-11-30 05:53:00,04-59-高尾-快速,18.0
1967,日野(東京),2021-11-30 05:56:00,2021-11-30 05:56:00,04-59-高尾-快速,19.0
1968,豊田,2021-11-30 06:00:00,2021-11-30 06:00:00,04-59-高尾-快速,20.0
1969,八王子,2021-11-30 06:04:00,2021-11-30 06:04:00,04-59-高尾-快速,21.0
1970,西八王子,2021-11-30 06:07:00,2021-11-30 06:07:00,04-59-高尾-快速,22.0
1971,高尾(東京),2021-11-30 06:11:00,,04-59-高尾-快速,23.0
4111,東京,2021-11-30 05:17:00,2021-11-30 05:17:00,05-17-高尾-快速,0.0
4112,神田(東京),2021-11-30 05:19:00,2021-11-30 05:19:00,05-17-高尾-快速,1.0
4113,御茶ノ水,2021-11-30 05:21:00,2021-11-30 05:21:00,05-17-高尾-快速,2.0
4114,四ツ谷,2021-11-30 05:26:00,2021-11-30 05:26:00,05-17-高尾-快速,3.0
4115,新宿,2021-11-30 05:31:00,2021-11-30 05:31:00,05-17-高尾-快速,4.0
4116,中野(東京),2021-11-30 05:35:00,2021-11-30 05:35:00,05-17-高尾-快速,5.0
4117,高円寺,2021-11-30 05:37:00,2021-11-30 05:37:00,05-17-高尾-快速,6.0
4118,阿佐ケ谷,2021-11-30 05:39:00,2021-11-30 05:39:00,05-17-高尾-快速,7.0
4119,荻窪,2021-11-30 05:41:00,2021-11-30 05:41:00,05-17-高尾-快速,8.0
4120,西荻窪,2021-11-30 05:43:00,2021-11-30 05:43:00,05-17-高尾-快速,9.0
4121,吉祥寺,2021-11-30 05:46:00,2021-11-30 05:46:00,05-17-高尾-快速,10.0
4122,三鷹,2021-11-30 05:48:00,2021-11-30 05:48:00,05-17-高尾-快速,11.0
4123,武蔵境,2021-11-30 05:51:00,2021-11-30 05:51:00,05-17-高尾-快速,12.0
4124,東小金井,2021-11-30 05:53:00,2021-11-30 05:53:00,05-17-高尾-快速,13.0
4125,武蔵小金井,2021-11-30 05:55:00,2021-11-30 05:55:00,05-17-高尾-快速,14.0
4126,国分寺,2021-11-30 05:58:00,2021-11-30 05:58:00,05-17-高尾-快速,15.0
4127,西国分寺,2021-11-30 06:00:00,2021-11-30 06:00:00,05-17-高尾-快速,16.0
4128,国立,2021-11-30 06:02:00,2021-11-30 06:02:00,05-17-高尾-快速,17.0
4129,立川,2021-11-30 06:06:00,2021-11-30 06:06:00,05-17-高尾-快速,18.0
4130,日野(東京),2021-11-30 06:09:00,2021-11-30 06:09:00,05-17-高尾-快速,19.0
4131,豊田,2021-11-30 06:12:00,2021-11-30 06:12:00,05-17-高尾-快速,20.0
4132,八王子,2021-11-30 06:16:00,2021-11-30 06:16:00,05-17-高尾-快速,21.0
4133,西八王子,2021-11-30 06:19:00,2021-11-30 06:19:00,05-17-高尾-快速,22.0
4134,高尾(東京),2021-11-30 06:23:00,,05-17-高尾-快速,23.0
3498,東京,2021-11-30 05:30:00,2021-11-30 05:30:00,05-30-高尾-快速,0.0
3499,神田(東京),2021-11-30 05:32:00,2021-11-30 05:32:00,05-30-高尾-快速,1.0
3500,御茶ノ水,2021-11-30 05:34:00,2021-11-30 05:34:00,05-30-高尾-快速,2.0
3501,四ツ谷,2021-11-30 05:39:00,2021-11-30 05:39:00,05-30-高尾-快速,3.0
3502,新宿,2021-11-30 05:44:00,2021-11-30 05:44:00,05-30-高尾-快速,4.0
3503,中野(東京),2021-11-30 05:48:00,2021-11-30 05:48:00,05-30-高尾-快速,5.0
3504,高円寺,2021-11-30 05:50:00,2021-11-30 05:50:00,05-30-高尾-快速,6.0
3505,阿佐ケ谷,2021-11-30 05:52:00,2021-11-30 05:52:00,05-30-高尾-快速,7.0
3506,荻窪,2021-11-30 05:54:00,2021-11-30 05:54:00,05-30-高尾-快速,8.0
3507,西荻窪,2021-11-30 05:56:00,2021-11-30 05:56:00,05-30-高尾-快速,9.0
3508,吉祥寺,2021-11-30 05:59:00,2021-11-30 05:59:00,05-30-高尾-快速,10.0
3509,三鷹,2021-11-30 06:01:00,2021-11-30 06:01:00,05-30-高尾-快速,11.0
3510,武蔵境,2021-11-30 06:04:00,2021-11-30 06:04:00,05-30-高尾-快速,12.0
3511,東小金井,2021-11-30 06:06:00,2021-11-30 06:06:00,05-30-高尾-快速,13.0
3512,武蔵小金井,2021-11-30 06:09:00,2021-11-30 06:09:00,05-30-高尾-快速,14.0
3513,国分寺,2021-11-30 06:12:00,2021-11-30 06:12:00,05-30-高尾-快速,15.0
3514,西国分寺,2021-11-30 06:14:00,2021-11-30 06:14:00,05-30-高尾-快速,16.0
3515,国立,2021-11-30 06:16:00,2021-11-30 06:16:00,05-30-高尾-快速,17.0
3516,立川,2021-11-30 06:20:00,2021-11-30 06:20:00,05-30-高尾-快速,18.0
3517,日野(東京),2021-11-30 06:23:00,2021-11-30 06:23:00,05-30-高尾-快速,19.0
3518,豊田,2021-11-30 06:26:00,2021-11-30 06:26:00,05-30-高尾-快速,20.0
3519,八王子,2021-11-30 06:30:00,2021-11-30 06:30:00,05-30-高尾-快速,21.0
3520,西八王子,2021-11-30 06:33:00,2021-11-30 06:33:00,05-30-高尾-快速,22.0
3521,高尾(東京),2021-11-30 06:37:00,,05-30-高尾-快速,23.0
2037,東京,2021-11-30 05:45:00,2021-11-30 05:45:00,05-45-高尾-快速,0.0
2038,神田(東京),2021-11-30 05:47:00,2021-11-30 05:47:00,05-45-高尾-快速,1.0
2039,御茶ノ水,2021-11-30 05:49:00,2021-11-30 05:49:00,05-45-高尾-快速,2.0
2040,四ツ谷,2021-11-30 05:54:00,2021-11-30 05:54:00,05-45-高尾-快速,3.0
2041,新宿,2021-11-30 05:59:00,2021-11-30 05:59:00,05-45-高尾-快速,4.0
2042,中野(東京),2021-11-30 06:03:00,2021-11-30 06:03:00,05-45-高尾-快速,5.0
2043,高円寺,2021-11-30 06:05:00,2021-11-30 06:05:00,05-45-高尾-快速,6.0
2044,阿佐ケ谷,2021-11-30 06:07:00,2021-11-30 06:07:00,05-45-高尾-快速,7.0
2045,荻窪,2021-11-30 06:09:00,2021-11-30 06:09:00,05-45-高尾-快速,8.0
2046,西荻窪,2021-11-30 06:11:00,2021-11-30 06:11:00,05-45-高尾-快速,9.0
2047,吉祥寺,2021-11-30 06:14:00,2021-11-30 06:14:00,05-45-高尾-快速,10.0
2048,三鷹,2021-11-30 06:16:00,2021-11-30 06:16:00,05-45-高尾-快速,11.0
