,Station,Arrive,Depart,Train,index
2860,千葉,2022-08-13 00:00:00,2022-08-13 00:00:00,00-00-津田沼-普通,0.0
2861,西千葉,2022-08-13 00:02:00,2022-08-13 00:02:00,00-00-津田沼-普通,1.0
2862,稲毛,2022-08-13 00:04:00,2022-08-13 00:04:00,00-00-津田沼-普通,2.0
2863,新検見川,2022-08-13 00:07:00,2022-08-13 00:07:00,00-00-津田沼-普通,3.0
2864,幕張,2022-08-13 00:10:00,2022-08-13 00:10:00,00-00-津田沼-普通,4.0
2865,幕張本郷,2022-08-13 00:12:00,2022-08-13 00:12:00,00-00-津田沼-普通,5.0
2866,津田沼,2022-08-13 00:15:00,,00-00-津田沼-普通,6.0
915,千葉,2022-08-13 00:14:00,2022-08-13 00:14:00,00-14-津田沼-普通,0.0
916,西千葉,2022-08-13 00:17:00,2022-08-13 00:17:00,00-14-津田沼-普通,1.0
917,稲毛,2022-08-13 00:19:00,2022-08-13 00:19:00,00-14-津田沼-普通,2.0
918,新検見川,2022-08-13 00:22:00,2022-08-13 00:22:00,00-14-津田沼-普通,3.0
919,幕張,2022-08-13 00:24:00,2022-08-13 00:24:00,00-14-津田沼-普通,4.0
920,幕張本郷,2022-08-13 00:27:00,2022-08-13 00:27:00,00-14-津田沼-普通,5.0
921,津田沼,2022-08-13 00:30:00,,00-14-津田沼-普通,6.0
3443,千葉,2022-08-13 00:31:00,2022-08-13 00:31:00,00-31-津田沼-普通,0.0
3444,西千葉,2022-08-13 00:33:00,2022-08-13 00:33:00,00-31-津田沼-普通,1.0
3445,稲毛,2022-08-13 00:35:00,2022-08-13 00:35:00,00-31-津田沼-普通,2.0
3446,新検見川,2022-08-13 00:38:00,2022-08-13 00:38:00,00-31-津田沼-普通,3.0
3447,幕張,2022-08-13 00:40:00,2022-08-13 00:40:00,00-31-津田沼-普通,4.0
3448,幕張本郷,2022-08-13 00:43:00,2022-08-13 00:43:00,00-31-津田沼-普通,5.0
3449,津田沼,2022-08-13 00:46:00,,00-31-津田沼-普通,6.0
4170,千葉,2022-08-12 04:31:00,2022-08-12 04:31:00,04-31-三鷹-普通,0.0
4171,西千葉,2022-08-12 04:33:00,2022-08-12 04:33:00,04-31-三鷹-普通,1.0
4172,稲毛,2022-08-12 04:35:00,2022-08-12 04:35:00,04-31-三鷹-普通,2.0
4173,新検見川,2022-08-12 04:38:00,2022-08-12 04:38:00,04-31-三鷹-普通,3.0
4174,幕張,2022-08-12 04:40:00,2022-08-12 04:40:00,04-31-三鷹-普通,4.0
4175,幕張本郷,2022-08-12 04:43:00,2022-08-12 04:43:00,04-31-三鷹-普通,5.0
4176,津田沼,2022-08-12 04:47:00,2022-08-12 04:47:00,04-31-三鷹-普通,6.0
4177,東船橋,2022-08-12 04:50:00,2022-08-12 04:50:00,04-31-三鷹-普通,7.0
4178,船橋,2022-08-12 04:52:00,2022-08-12 04:52:00,04-31-三鷹-普通,8.0
4179,西船橋,2022-08-12 04:55:00,2022-08-12 04:55:00,04-31-三鷹-普通,9.0
4180,下総中山,2022-08-12 04:58:00,2022-08-12 04:58:00,04-31-三鷹-普通,10.0
4181,本八幡,2022-08-12 05:00:00,2022-08-12 05:00:00,04-31-三鷹-普通,11.0
4182,市川,2022-08-12 05:03:00,2022-08-12 05:03:00,04-31-三鷹-普通,12.0
4183,小岩,2022-08-12 05:06:00,2022-08-12 05:06:00,04-31-三鷹-普通,13.0
4184,新小岩,2022-08-12 05:09:00,2022-08-12 05:09:00,04-31-三鷹-普通,14.0
4185,平井(東京),2022-08-12 05:11:00,2022-08-12 05:11:00,04-31-三鷹-普通,15.0
4186,亀戸,2022-08-12 05:14:00,2022-08-12 05:14:00,04-31-三鷹-普通,16.0
4187,錦糸町,2022-08-12 05:16:00,2022-08-12 05:16:00,04-31-三鷹-普通,17.0
4188,両国,2022-08-12 05:18:00,2022-08-12 05:18:00,04-31-三鷹-普通,18.0
4189,浅草橋,2022-08-12 05:20:00,2022-08-12 05:20:00,04-31-三鷹-普通,19.0
4190,秋葉原,2022-08-12 05:23:00,2022-08-12 05:23:00,04-31-三鷹-普通,20.0
4191,御茶ノ水,2022-08-12 05:25:00,2022-08-12 05:25:00,04-31-三鷹-普通,21.0
4192,水道橋,2022-08-12 05:27:00,2022-08-12 05:27:00,04-31-三鷹-普通,22.0
4193,飯田橋,2022-08-12 05:29:00,2022-08-12 05:29:00,04-31-三鷹-普通,23.0
4194,市ケ谷,2022-08-12 05:31:00,2022-08-12 05:31:00,04-31-三鷹-普通,24.0
4195,四ツ谷,2022-08-12 05:33:00,2022-08-12 05:33:00,04-31-三鷹-普通,25.0
4196,信濃町,2022-08-12 05:35:00,2022-08-12 05:35:00,04-31-三鷹-普通,26.0
4197,千駄ケ谷,2022-08-12 05:37:00,2022-08-12 05:37:00,04-31-三鷹-普通,27.0
4198,代々木,2022-08-12 05:39:00,2022-08-12 05:39:00,04-31-三鷹-普通,28.0
4199,新宿,2022-08-12 05:41:00,2022-08-12 05:41:00,04-31-三鷹-普通,29.0
4200,大久保(東京),2022-08-12 05:43:00,2022-08-12 05:43:00,04-31-三鷹-普通,30.0
4201,東中野,2022-08-12 05:45:00,2022-08-12 05:45:00,04-31-三鷹-普通,31.0
4202,中野(東京),2022-08-12 05:49:00,2022-08-12 05:49:00,04-31-三鷹-普通,32.0
4203,高円寺,2022-08-12 05:51:00,2022-08-12 05:51:00,04-31-三鷹-普通,33.0
4204,阿佐ケ谷,2022-08-12 05:53:00,2022-08-12 05:53:00,04-31-三鷹-普通,34.0
4205,荻窪,2022-08-12 05:55:00,2022-08-12 05:55:00,04-31-三鷹-普通,35.0
4206,西荻窪,2022-08-12 05:57:00,2022-08-12 05:57:00,04-31-三鷹-普通,36.0
4207,吉祥寺,2022-08-12 06:00:00,2022-08-12 06:00:00,04-31-三鷹-普通,37.0
4208,三鷹,2022-08-12 06:02:00,,04-31-三鷹-普通,38.0
4890,千葉,2022-08-12 04:46:00,2022-08-12 04:46:00,04-46-三鷹-普通,0.0
4891,西千葉,2022-08-12 04:48:00,2022-08-12 04:48:00,04-46-三鷹-普通,1.0
4892,稲毛,2022-08-12 04:50:00,2022-08-12 04:50:00,04-46-三鷹-普通,2.0
4893,新検見川,2022-08-12 04:53:00,2022-08-12 04:53:00,04-46-三鷹-普通,3.0
4894,幕張,2022-08-12 04:56:00,2022-08-12 04:56:00,04-46-三鷹-普通,4.0
4895,幕張本郷,2022-08-12 04:58:00,2022-08-12 04:58:00,04-46-三鷹-普通,5.0
4896,津田沼,2022-08-12 05:02:00,2022-08-12 05:02:00,04-46-三鷹-普通,6.0
4897,東船橋,2022-08-12 05:05:00,2022-08-12 05:05:00,04-46-三鷹-普通,7.0
4898,船橋,2022-08-12 05:07:00,2022-08-12 05:07:00,04-46-三鷹-普通,8.0
4899,西船橋,2022-08-12 05:10:00,2022-08-12 05:10:00,04-46-三鷹-普通,9.0
4900,下総中山,2022-08-12 05:13:00,2022-08-12 05:13:00,04-46-三鷹-普通,10.0
4901,本八幡,2022-08-12 05:15:00,2022-08-12 05:15:00,04-46-三鷹-普通,11.0
4902,市川,2022-08-12 05:18:00,2022-08-12 05:18:00,04-46-三鷹-普通,12.0
4903,小岩,2022-08-12 05:21:00,2022-08-12 05:21:00,04-46-三鷹-普通,13.0
4904,新小岩,2022-08-12 05:24:00,2022-08-12 05:24:00,04-46-三鷹-普通,14.0
4905,平井(東京),2022-08-12 05:26:00,2022-08-12 05:26:00,04-46-三鷹-普通,15.0
4906,亀戸,2022-08-12 05:29:00,2022-08-12 05:29:00,04-46-三鷹-普通,16.0
4907,錦糸町,2022-08-12 05:31:00,2022-08-12 05:31:00,04-46-三鷹-普通,17.0
4908,両国,2022-08-12 05:33:00,2022-08-12 05:33:00,04-46-三鷹-普通,18.0
4909,浅草橋,2022-08-12 05:35:00,2022-08-12 05:35:00,04-46-三鷹-普通,19.0
4910,秋葉原,2022-08-12 05:38:00,2022-08-12 05:38:00,04-46-三鷹-普通,20.0
4911,御茶ノ水,2022-08-12 05:40:00,2022-08-12 05:40:00,04-46-三鷹-普通,21.0
4912,水道橋,2022-08-12 05:42:00,2022-08-12 05:42:00,04-46-三鷹-普通,22.0
4913,飯田橋,2022-08-12 05:44:00,2022-08-12 05:44:00,04-46-三鷹-普通,23.0
4914,市ケ谷,2022-08-12 05:46:00,2022-08-12 05:46:00,04-46-三鷹-普通,24.0
4915,四ツ谷,2022-08-12 05:48:00,2022-08-12 05:48:00,04-46-三鷹-普通,25.0
4916,信濃町,2022-08-12 05:50:00,2022-08-12 05:50:00,04-46-三鷹-普通,26.0
4917,千駄ケ谷,2022-08-12 05:52:00,2022-08-12 05:52:00,04-46-三鷹-普通,27.0
4918,代々木,2022-08-12 05:54:00,2022-08-12 05:54:00,04-46-三鷹-普通,28.0
4919,新宿,2022-08-12 05:56:00,2022-08-12 05:56:00,04-46-三鷹-普通,29.0
4920,大久保(東京),2022-08-12 05:58:00,2022-08-12 05:58:00,04-46-三鷹-普通,30.0
4921,東中野,2022-08-12 06:00:00,2022-08-12 06:00:00,04-46-三鷹-普通,31.0
4922,中野(東京),2022-08-12 06:04:00,2022-08-12 06:04:00,04-46-三鷹-普通,32.0
4923,高円寺,2022-08-12 06:06:00,2022-08-12 06:06:00,04-46-三鷹-普通,33.0
4924,阿佐ケ谷,2022-08-12 06:08:00,2022-08-12 06:08:00,04-46-三鷹-普通,34.0
4925,荻窪,2022-08-12 06:10:00,2022-08-12 06:10:00,04-46-三鷹-普通,35.0
4926,西荻窪,2022-08-12 06:12:00,2022-08-12 06:12:00,04-46-三鷹-普通,36.0
