,Station,Arrive,Depart,Train,index
1384,大宮(埼玉),2021-12-01 00:15:00,2021-12-01 00:15:00,00-15-赤羽-普通,0.0
1385,さいたま新都心,2021-12-01 00:18:00,2021-12-01 00:18:00,00-15-赤羽-普通,1.0
1386,与野,2021-12-01 00:20:00,2021-12-01 00:20:00,00-15-赤羽-普通,2.0
1387,北浦和,2021-12-01 00:22:00,2021-12-01 00:22:00,00-15-赤羽-普通,3.0
1388,浦和,2021-12-01 00:25:00,2021-12-01 00:25:00,00-15-赤羽-普通,4.0
1389,南浦和,2021-12-01 00:27:00,2021-12-01 00:27:00,00-15-赤羽-普通,5.0
1390,蕨,2021-12-01 00:31:00,2021-12-01 00:31:00,00-15-赤羽-普通,6.0
1391,西川口,2021-12-01 00:33:00,2021-12-01 00:33:00,00-15-赤羽-普通,7.0
1392,川口,2021-12-01 00:36:00,2021-12-01 00:36:00,00-15-赤羽-普通,8.0
1393,赤羽,2021-12-01 00:39:00,,00-15-赤羽-普通,9.0
650,大宮(埼玉),2021-11-30 04:28:00,2021-11-30 04:28:00,04-28-大船-普通,0.0
651,さいたま新都心,2021-11-30 04:30:00,2021-11-30 04:30:00,04-28-大船-普通,1.0
652,与野,2021-11-30 04:32:00,2021-11-30 04:32:00,04-28-大船-普通,2.0
653,北浦和,2021-11-30 04:35:00,2021-11-30 04:35:00,04-28-大船-普通,3.0
654,浦和,2021-11-30 04:37:00,2021-11-30 04:37:00,04-28-大船-普通,4.0
655,南浦和,2021-11-30 04:40:00,2021-11-30 04:40:00,04-28-大船-普通,5.0
656,蕨,2021-11-30 04:43:00,2021-11-30 04:43:00,04-28-大船-普通,6.0
657,西川口,2021-11-30 04:46:00,2021-11-30 04:46:00,04-28-大船-普通,7.0
658,川口,2021-11-30 04:48:00,2021-11-30 04:48:00,04-28-大船-普通,8.0
659,赤羽,2021-11-30 04:52:00,2021-11-30 04:52:00,04-28-大船-普通,9.0
660,東十条,2021-11-30 04:54:00,2021-11-30 04:54:00,04-28-大船-普通,10.0
661,王子,2021-11-30 04:57:00,2021-11-30 04:57:00,04-28-大船-普通,11.0
662,上中里,2021-11-30 04:59:00,2021-11-30 04:59:00,04-28-大船-普通,12.0
663,田端,2021-11-30 05:02:00,2021-11-30 05:02:00,04-28-大船-普通,13.0
664,西日暮里,2021-11-30 05:03:00,2021-11-30 05:03:00,04-28-大船-普通,14.0
665,日暮里,2021-11-30 05:05:00,2021-11-30 05:05:00,04-28-大船-普通,15.0
666,鶯谷,2021-11-30 05:07:00,2021-11-30 05:07:00,04-28-大船-普通,16.0
667,上野,2021-11-30 05:09:00,2021-11-30 05:09:00,04-28-大船-普通,17.0
668,御徒町,2021-11-30 05:11:00,2021-11-30 05:11:00,04-28-大船-普通,18.0
669,秋葉原,2021-11-30 05:13:00,2021-11-30 05:13:00,04-28-大船-普通,19.0
670,神田(東京),2021-11-30 05:15:00,2021-11-30 05:15:00,04-28-大船-普通,20.0
671,東京,2021-11-30 05:17:00,2021-11-30 05:17:00,04-28-大船-普通,21.0
672,有楽町,2021-11-30 05:19:00,2021-11-30 05:19:00,04-28-大船-普通,22.0
673,新橋,2021-11-30 05:21:00,2021-11-30 05:21:00,04-28-大船-普通,23.0
674,浜松町,2021-11-30 05:24:00,2021-11-30 05:24:00,04-28-大船-普通,24.0
675,田町(東京),2021-11-30 05:26:00,2021-11-30 05:26:00,04-28-大船-普通,25.0
676,高輪ゲートウェイ,2021-11-30 05:28:00,2021-11-30 05:28:00,04-28-大船-普通,26.0
677,品川,2021-11-30 05:30:00,2021-11-30 05:30:00,04-28-大船-普通,27.0
678,大井町,2021-11-30 05:33:00,2021-11-30 05:33:00,04-28-大船-普通,28.0
679,大森(東京),2021-11-30 05:36:00,2021-11-30 05:36:00,04-28-大船-普通,29.0
680,蒲田,2021-11-30 05:40:00,2021-11-30 05:40:00,04-28-大船-普通,30.0
681,川崎,2021-11-30 05:44:00,2021-11-30 05:44:00,04-28-大船-普通,31.0
682,鶴見,2021-11-30 05:48:00,2021-11-30 05:48:00,04-28-大船-普通,32.0
683,新子安,2021-11-30 05:51:00,2021-11-30 05:51:00,04-28-大船-普通,33.0
684,東神奈川,2021-11-30 05:54:00,2021-11-30 05:54:00,04-28-大船-普通,34.0
685,横浜,2021-11-30 05:57:00,2021-11-30 05:57:00,04-28-大船-普通,35.0
686,桜木町,2021-11-30 06:00:00,2021-11-30 06:00:00,04-28-大船-普通,36.0
687,関内,2021-11-30 06:02:00,2021-11-30 06:02:00,04-28-大船-普通,37.0
688,石川町,2021-11-30 06:04:00,2021-11-30 06:04:00,04-28-大船-普通,38.0
689,山手,2021-11-30 06:06:00,2021-11-30 06:06:00,04-28-大船-普通,39.0
690,根岸(神奈川),2021-11-30 06:09:00,2021-11-30 06:09:00,04-28-大船-普通,40.0
691,磯子,2021-11-30 06:12:00,2021-11-30 06:12:00,04-28-大船-普通,41.0
692,新杉田,2021-11-30 06:15:00,2021-11-30 06:15:00,04-28-大船-普通,42.0
693,洋光台,2021-11-30 06:18:00,2021-11-30 06:18:00,04-28-大船-普通,43.0
694,港南台,2021-11-30 06:21:00,2021-11-30 06:21:00,04-28-大船-普通,44.0
695,本郷台,2021-11-30 06:24:00,2021-11-30 06:24:00,04-28-大船-普通,45.0
696,大船,2021-11-30 06:28:00,,04-28-大船-普通,46.0
4834,大宮(埼玉),2021-11-30 04:48:00,2021-11-30 04:48:00,04-48-大船-普通,0.0
4835,さいたま新都心,2021-11-30 04:51:00,2021-11-30 04:51:00,04-48-大船-普通,1.0
4836,与野,2021-11-30 04:53:00,2021-11-30 04:53:00,04-48-大船-普通,2.0
4837,北浦和,2021-11-30 04:55:00,2021-11-30 04:55:00,04-48-大船-普通,3.0
4838,浦和,2021-11-30 04:58:00,2021-11-30 04:58:00,04-48-大船-普通,4.0
4839,南浦和,2021-11-30 05:00:00,2021-11-30 05:00:00,04-48-大船-普通,5.0
4840,蕨,2021-11-30 05:04:00,2021-11-30 05:04:00,04-48-大船-普通,6.0
4841,西川口,2021-11-30 05:06:00,2021-11-30 05:06:00,04-48-大船-普通,7.0
4842,川口,2021-11-30 05:09:00,2021-11-30 05:09:00,04-48-大船-普通,8.0
4843,赤羽,2021-11-30 05:12:00,2021-11-30 05:12:00,04-48-大船-普通,9.0
4844,東十条,2021-11-30 05:15:00,2021-11-30 05:15:00,04-48-大船-普通,10.0
4845,王子,2021-11-30 05:17:00,2021-11-30 05:17:00,04-48-大船-普通,11.0
4846,上中里,2021-11-30 05:19:00,2021-11-30 05:19:00,04-48-大船-普通,12.0
4847,田端,2021-11-30 05:22:00,2021-11-30 05:22:00,04-48-大船-普通,13.0
4848,西日暮里,2021-11-30 05:24:00,2021-11-30 05:24:00,04-48-大船-普通,14.0
4849,日暮里,2021-11-30 05:26:00,2021-11-30 05:26:00,04-48-大船-普通,15.0
4850,鶯谷,2021-11-30 05:27:00,2021-11-30 05:27:00,04-48-大船-普通,16.0
4851,上野,2021-11-30 05:30:00,2021-11-30 05:30:00,04-48-大船-普通,17.0
