,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
0,1344,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:06:00,06-07-平塚-快速,0.0,大宮(埼玉)
1,1345,浦和,2021-11-30 00:07:00,2021-11-30 06:13:00,06-07-平塚-快速,1.0,浦和
2,1346,赤羽,2021-11-30 00:15:00,2021-11-30 06:21:00,06-07-平塚-快速,2.0,赤羽
3,2806,赤羽,2021-11-30 00:16:00,2021-11-30 06:22:00,06-07-平塚-快速,2.5,赤羽
4,1347,池袋,2021-11-30 00:27:00,2021-11-30 06:33:00,06-07-平塚-快速,3.0,尾久/池袋
5,2807,池袋,2021-11-30 00:28:00,2021-11-30 06:34:00,06-07-平塚-快速,3.5,尾久/池袋
6,1348,新宿,2021-11-30 00:33:00,2021-11-30 06:39:00,06-07-平塚-快速,4.0,上野/新宿
7,2808,新宿,2021-11-30 00:34:00,2021-11-30 06:40:00,06-07-平塚-快速,4.5,上野/新宿
8,1349,渋谷,2021-11-30 00:38:00,2021-11-30 06:44:00,06-07-平塚-快速,5.0,東京/渋谷
9,2809,渋谷,2021-11-30 00:39:00,2021-11-30 06:45:00,06-07-平塚-快速,5.5,東京/渋谷
10,1350,恵比寿,2021-11-30 00:41:00,2021-11-30 06:47:00,06-07-平塚-快速,6.0,新橋/恵比寿
11,1351,大崎,2021-11-30 00:45:00,2021-11-30 06:51:00,06-07-平塚-快速,7.0,品川/大崎
12,2810,大崎,2021-11-30 00:46:00,2021-11-30 06:52:00,06-07-平塚-快速,7.5,品川/大崎
13,1352,武蔵小杉,2021-11-30 00:53:00,2021-11-30 06:59:00,06-07-平塚-快速,8.0,川崎/武蔵小杉
14,2811,武蔵小杉,2021-11-30 00:54:00,2021-11-30 07:00:00,06-07-平塚-快速,8.5,川崎/武蔵小杉
15,1353,横浜,2021-11-30 01:04:00,2021-11-30 07:10:00,06-07-平塚-快速,9.0,横浜
16,1354,戸塚,2021-11-30 01:14:00,2021-11-30 07:20:00,06-07-平塚-快速,10.0,戸塚
17,1355,大船,2021-11-30 01:19:00,2021-11-30 07:25:00,06-07-平塚-快速,11.0,大船
