,Station,Arrive,Depart,Train,index,Station_sequence
507,大宮(埼玉),2021-11-30 05:49:00,2021-11-30 05:49:00,05-50-小田原-普通,0.0,大宮(埼玉)
508,さいたま新都心,2021-11-30 05:52:00,2021-11-30 05:52:00,05-50-小田原-普通,1.0,さいたま新都心
2352,さいたま新都心,2021-11-30 05:53:00,2021-11-30 05:53:00,05-50-小田原-普通,1.5,さいたま新都心
509,浦和,2021-11-30 05:57:00,2021-11-30 05:57:00,05-50-小田原-普通,2.0,浦和
510,赤羽,2021-11-30 06:05:00,2021-11-30 06:05:00,05-50-小田原-普通,3.0,赤羽
511,尾久,2021-11-30 06:10:00,2021-11-30 06:10:00,05-50-小田原-普通,4.0,尾久/池袋
512,上野,2021-11-30 06:16:00,2021-11-30 06:16:00,05-50-小田原-普通,5.0,上野/新宿
2353,上野,2021-11-30 06:17:00,2021-11-30 06:17:00,05-50-小田原-普通,5.5,上野/新宿
513,東京,2021-11-30 06:22:00,2021-11-30 06:22:00,05-50-小田原-普通,6.0,東京/渋谷
2354,東京,2021-11-30 06:23:00,2021-11-30 06:23:00,05-50-小田原-普通,6.5,東京/渋谷
514,新橋,2021-11-30 06:26:00,2021-11-30 06:26:00,05-50-小田原-普通,7.0,新橋/恵比寿
515,品川,2021-11-30 06:32:00,2021-11-30 06:32:00,05-50-小田原-普通,8.0,品川/大崎
2355,品川,2021-11-30 06:33:00,2021-11-30 06:33:00,05-50-小田原-普通,8.5,品川/大崎
516,川崎,2021-11-30 06:42:00,2021-11-30 06:42:00,05-50-小田原-普通,9.0,川崎/武蔵小杉
2356,川崎,2021-11-30 06:43:00,2021-11-30 06:43:00,05-50-小田原-普通,9.5,川崎/武蔵小杉
517,横浜,2021-11-30 06:51:00,2021-11-30 06:51:00,05-50-小田原-普通,10.0,横浜
2357,横浜,2021-11-30 06:52:00,2021-11-30 06:52:00,05-50-小田原-普通,10.5,横浜
518,戸塚,2021-11-30 07:02:00,2021-11-30 07:02:00,05-50-小田原-普通,11.0,戸塚
519,大船,2021-11-30 07:07:00,2021-11-30 07:07:00,05-50-小田原-普通,12.0,大船
2358,大船,2021-11-30 07:08:00,2021-11-30 07:08:00,05-50-小田原-普通,12.5,大船
520,藤沢,2021-11-30 07:12:00,2021-11-30 07:12:00,05-50-小田原-普通,13.0,藤沢
2359,藤沢,2021-11-30 07:13:00,2021-11-30 07:13:00,05-50-小田原-普通,13.5,藤沢
521,辻堂,2021-11-30 07:16:00,2021-11-30 07:16:00,05-50-小田原-普通,14.0,辻堂
522,茅ケ崎,2021-11-30 07:20:00,2021-11-30 07:20:00,05-50-小田原-普通,15.0,茅ケ崎
523,平塚,2021-11-30 07:25:00,2021-11-30 07:25:00,05-50-小田原-普通,16.0,平塚
524,大磯,2021-11-30 07:28:00,2021-11-30 07:28:00,05-50-小田原-普通,17.0,大磯
2360,大磯,2021-11-30 07:29:00,2021-11-30 07:29:00,05-50-小田原-普通,17.5,大磯
525,二宮,2021-11-30 07:33:00,2021-11-30 07:33:00,05-50-小田原-普通,18.0,二宮
526,国府津,2021-11-30 07:37:00,2021-11-30 07:37:00,05-50-小田原-普通,19.0,国府津
2361,国府津,2021-11-30 07:38:00,2021-11-30 07:38:00,05-50-小田原-普通,19.5,国府津
527,鴨宮,2021-11-30 07:41:00,2021-11-30 07:41:00,05-50-小田原-普通,20.0,鴨宮
528,小田原,2021-11-30 07:46:00,,05-50-小田原-普通,21.0,小田原
888,大宮(埼玉),2021-11-30 06:17:00,2021-11-30 06:17:00,06-18-小田原-普通,0.0,大宮(埼玉)
889,さいたま新都心,2021-11-30 06:20:00,2021-11-30 06:20:00,06-18-小田原-普通,1.0,さいたま新都心
2551,さいたま新都心,2021-11-30 06:21:00,2021-11-30 06:21:00,06-18-小田原-普通,1.5,さいたま新都心
890,浦和,2021-11-30 06:25:00,2021-11-30 06:25:00,06-18-小田原-普通,2.0,浦和
891,赤羽,2021-11-30 06:33:00,2021-11-30 06:33:00,06-18-小田原-普通,3.0,赤羽
892,尾久,2021-11-30 06:38:00,2021-11-30 06:38:00,06-18-小田原-普通,4.0,尾久/池袋
893,上野,2021-11-30 06:45:00,2021-11-30 06:45:00,06-18-小田原-普通,5.0,上野/新宿
2552,上野,2021-11-30 06:47:00,2021-11-30 06:47:00,06-18-小田原-普通,5.5,上野/新宿
894,東京,2021-11-30 06:52:00,2021-11-30 06:52:00,06-18-小田原-普通,6.0,東京/渋谷
2553,東京,2021-11-30 06:53:00,2021-11-30 06:53:00,06-18-小田原-普通,6.5,東京/渋谷
895,新橋,2021-11-30 06:55:00,2021-11-30 06:55:00,06-18-小田原-普通,7.0,新橋/恵比寿
2554,新橋,2021-11-30 06:56:00,2021-11-30 06:56:00,06-18-小田原-普通,7.5,新橋/恵比寿
896,品川,2021-11-30 07:01:00,2021-11-30 07:01:00,06-18-小田原-普通,8.0,品川/大崎
2555,品川,2021-11-30 07:02:00,2021-11-30 07:02:00,06-18-小田原-普通,8.5,品川/大崎
897,川崎,2021-11-30 07:11:00,2021-11-30 07:11:00,06-18-小田原-普通,9.0,川崎/武蔵小杉
898,横浜,2021-11-30 07:19:00,2021-11-30 07:19:00,06-18-小田原-普通,10.0,横浜
2556,横浜,2021-11-30 07:20:00,2021-11-30 07:20:00,06-18-小田原-普通,10.5,横浜
899,戸塚,2021-11-30 07:29:00,2021-11-30 07:29:00,06-18-小田原-普通,11.0,戸塚
2557,戸塚,2021-11-30 07:30:00,2021-11-30 07:30:00,06-18-小田原-普通,11.5,戸塚
900,大船,2021-11-30 07:35:00,2021-11-30 07:35:00,06-18-小田原-普通,12.0,大船
2558,大船,2021-11-30 07:36:00,2021-11-30 07:36:00,06-18-小田原-普通,12.5,大船
901,藤沢,2021-11-30 07:40:00,2021-11-30 07:40:00,06-18-小田原-普通,13.0,藤沢
902,辻堂,2021-11-30 07:44:00,2021-11-30 07:44:00,06-18-小田原-普通,14.0,辻堂
903,茅ケ崎,2021-11-30 07:48:00,2021-11-30 07:48:00,06-18-小田原-普通,15.0,茅ケ崎
2559,茅ケ崎,2021-11-30 07:49:00,2021-11-30 07:49:00,06-18-小田原-普通,15.5,茅ケ崎
904,平塚,2021-11-30 07:53:00,2021-11-30 07:53:00,06-18-小田原-普通,16.0,平塚
2560,平塚,2021-11-30 07:54:00,2021-11-30 07:54:00,06-18-小田原-普通,16.5,平塚
905,大磯,2021-11-30 07:57:00,2021-11-30 07:57:00,06-18-小田原-普通,17.0,大磯
2561,大磯,2021-11-30 07:58:00,2021-11-30 07:58:00,06-18-小田原-普通,17.5,大磯
906,二宮,2021-11-30 08:02:00,2021-11-30 08:02:00,06-18-小田原-普通,18.0,二宮
907,国府津,2021-11-30 08:06:00,2021-11-30 08:06:00,06-18-小田原-普通,19.0,国府津
2562,国府津,2021-11-30 08:07:00,2021-11-30 08:07:00,06-18-小田原-普通,19.5,国府津
908,鴨宮,2021-11-30 08:10:00,2021-11-30 08:10:00,06-18-小田原-普通,20.0,鴨宮
909,小田原,2021-11-30 08:14:00,,06-18-小田原-普通,21.0,小田原
845,大宮(埼玉),2021-11-30 06:25:00,2021-11-30 06:25:00,06-26-熱海-普通,0.0,大宮(埼玉)
846,さいたま新都心,2021-11-30 06:29:00,2021-11-30 06:29:00,06-26-熱海-普通,1.0,さいたま新都心
847,浦和,2021-11-30 06:33:00,2021-11-30 06:33:00,06-26-熱海-普通,2.0,浦和
2529,浦和,2021-11-30 06:34:00,2021-11-30 06:34:00,06-26-熱海-普通,2.5,浦和
848,赤羽,2021-11-30 06:42:00,2021-11-30 06:42:00,06-26-熱海-普通,3.0,赤羽
849,尾久,2021-11-30 06:46:00,2021-11-30 06:46:00,06-26-熱海-普通,4.0,尾久/池袋
2530,尾久,2021-11-30 06:47:00,2021-11-30 06:47:00,06-26-熱海-普通,4.5,尾久/池袋
850,上野,2021-11-30 06:53:00,2021-11-30 06:53:00,06-26-熱海-普通,5.0,上野/新宿
2531,上野,2021-11-30 06:54:00,2021-11-30 06:54:00,06-26-熱海-普通,5.5,上野/新宿
851,東京,2021-11-30 06:59:00,2021-11-30 06:59:00,06-26-熱海-普通,6.0,東京/渋谷
2532,東京,2021-11-30 07:01:00,2021-11-30 07:01:00,06-26-熱海-普通,6.5,東京/渋谷
852,新橋,2021-11-30 07:03:00,2021-11-30 07:03:00,06-26-熱海-普通,7.0,新橋/恵比寿
2533,新橋,2021-11-30 07:04:00,2021-11-30 07:04:00,06-26-熱海-普通,7.5,新橋/恵比寿
853,品川,2021-11-30 07:09:00,2021-11-30 07:09:00,06-26-熱海-普通,8.0,品川/大崎
2534,品川,2021-11-30 07:10:00,2021-11-30 07:10:00,06-26-熱海-普通,8.5,品川/大崎
854,川崎,2021-11-30 07:19:00,2021-11-30 07:19:00,06-26-熱海-普通,9.0,川崎/武蔵小杉
855,横浜,2021-11-30 07:27:00,2021-11-30 07:27:00,06-26-熱海-普通,10.0,横浜
