,Station,Arrive,Depart,Train,index,Station_sequence
1344,大宮(埼玉),2021-11-30 06:06:00,2021-11-30 06:06:00,06-07-平塚-快速,0.0,大宮(埼玉)
1345,浦和,2021-11-30 06:13:00,2021-11-30 06:13:00,06-07-平塚-快速,1.0,浦和
1346,赤羽,2021-11-30 06:21:00,2021-11-30 06:21:00,06-07-平塚-快速,2.0,赤羽
2806,赤羽,2021-11-30 06:22:00,2021-11-30 06:22:00,06-07-平塚-快速,2.5,赤羽
1347,池袋,2021-11-30 06:33:00,2021-11-30 06:33:00,06-07-平塚-快速,3.0,尾久/池袋
2807,池袋,2021-11-30 06:34:00,2021-11-30 06:34:00,06-07-平塚-快速,3.5,尾久/池袋
1348,新宿,2021-11-30 06:39:00,2021-11-30 06:39:00,06-07-平塚-快速,4.0,上野/新宿
2808,新宿,2021-11-30 06:40:00,2021-11-30 06:40:00,06-07-平塚-快速,4.5,上野/新宿
1349,渋谷,2021-11-30 06:44:00,2021-11-30 06:44:00,06-07-平塚-快速,5.0,東京/渋谷
2809,渋谷,2021-11-30 06:45:00,2021-11-30 06:45:00,06-07-平塚-快速,5.5,東京/渋谷
1350,恵比寿,2021-11-30 06:47:00,2021-11-30 06:47:00,06-07-平塚-快速,6.0,新橋/恵比寿
1351,大崎,2021-11-30 06:51:00,2021-11-30 06:51:00,06-07-平塚-快速,7.0,品川/大崎
2810,大崎,2021-11-30 06:52:00,2021-11-30 06:52:00,06-07-平塚-快速,7.5,品川/大崎
1352,武蔵小杉,2021-11-30 06:59:00,2021-11-30 06:59:00,06-07-平塚-快速,8.0,川崎/武蔵小杉
2811,武蔵小杉,2021-11-30 07:00:00,2021-11-30 07:00:00,06-07-平塚-快速,8.5,川崎/武蔵小杉
1353,横浜,2021-11-30 07:10:00,2021-11-30 07:10:00,06-07-平塚-快速,9.0,横浜
1354,戸塚,2021-11-30 07:20:00,2021-11-30 07:20:00,06-07-平塚-快速,10.0,戸塚
1355,大船,2021-11-30 07:25:00,2021-11-30 07:25:00,06-07-平塚-快速,11.0,大船
2812,大船,2021-11-30 07:26:00,2021-11-30 07:26:00,06-07-平塚-快速,11.5,大船
1356,藤沢,2021-11-30 07:30:00,2021-11-30 07:30:00,06-07-平塚-快速,12.0,藤沢
