,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
0,507,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 05:49:00,05-50-小田原-普通,0.0,大宮(埼玉)
1,508,さいたま新都心,2021-11-30 00:03:00,2021-11-30 05:52:00,05-50-小田原-普通,1.0,さいたま新都心
2,2352,さいたま新都心,2021-11-30 00:04:00,2021-11-30 05:53:00,05-50-小田原-普通,1.5,さいたま新都心
3,509,浦和,2021-11-30 00:08:00,2021-11-30 05:57:00,05-50-小田原-普通,2.0,浦和
4,510,赤羽,2021-11-30 00:16:00,2021-11-30 06:05:00,05-50-小田原-普通,3.0,赤羽
5,511,尾久,2021-11-30 00:21:00,2021-11-30 06:10:00,05-50-小田原-普通,4.0,尾久/池袋
6,512,上野,2021-11-30 00:27:00,2021-11-30 06:16:00,05-50-小田原-普通,5.0,上野/新宿
7,2353,上野,2021-11-30 00:28:00,2021-11-30 06:17:00,05-50-小田原-普通,5.5,上野/新宿
8,513,東京,2021-11-30 00:33:00,2021-11-30 06:22:00,05-50-小田原-普通,6.0,東京/渋谷
9,2354,東京,2021-11-30 00:34:00,2021-11-30 06:23:00,05-50-小田原-普通,6.5,東京/渋谷
10,514,新橋,2021-11-30 00:37:00,2021-11-30 06:26:00,05-50-小田原-普通,7.0,新橋/恵比寿
11,515,品川,2021-11-30 00:43:00,2021-11-30 06:32:00,05-50-小田原-普通,8.0,品川/大崎
12,2355,品川,2021-11-30 00:44:00,2021-11-30 06:33:00,05-50-小田原-普通,8.5,品川/大崎
13,516,川崎,2021-11-30 00:53:00,2021-11-30 06:42:00,05-50-小田原-普通,9.0,川崎/武蔵小杉
14,2356,川崎,2021-11-30 00:54:00,2021-11-30 06:43:00,05-50-小田原-普通,9.5,川崎/武蔵小杉
15,517,横浜,2021-11-30 01:02:00,2021-11-30 06:51:00,05-50-小田原-普通,10.0,横浜
16,2357,横浜,2021-11-30 01:03:00,2021-11-30 06:52:00,05-50-小田原-普通,10.5,横浜
17,518,戸塚,2021-11-30 01:13:00,2021-11-30 07:02:00,05-50-小田原-普通,11.0,戸塚
18,519,大船,2021-11-30 01:18:00,2021-11-30 07:07:00,05-50-小田原-普通,12.0,大船
19,2358,大船,2021-11-30 01:19:00,2021-11-30 07:08:00,05-50-小田原-普通,12.5,大船
20,520,藤沢,2021-11-30 01:23:00,2021-11-30 07:12:00,05-50-小田原-普通,13.0,藤沢
21,2359,藤沢,2021-11-30 01:24:00,2021-11-30 07:13:00,05-50-小田原-普通,13.5,藤沢
22,521,辻堂,2021-11-30 01:27:00,2021-11-30 07:16:00,05-50-小田原-普通,14.0,辻堂
23,522,茅ケ崎,2021-11-30 01:31:00,2021-11-30 07:20:00,05-50-小田原-普通,15.0,茅ケ崎
24,523,平塚,2021-11-30 01:36:00,2021-11-30 07:25:00,05-50-小田原-普通,16.0,平塚
25,524,大磯,2021-11-30 01:39:00,2021-11-30 07:28:00,05-50-小田原-普通,17.0,大磯
26,2360,大磯,2021-11-30 01:40:00,2021-11-30 07:29:00,05-50-小田原-普通,17.5,大磯
27,525,二宮,2021-11-30 01:44:00,2021-11-30 07:33:00,05-50-小田原-普通,18.0,二宮
28,526,国府津,2021-11-30 01:48:00,2021-11-30 07:37:00,05-50-小田原-普通,19.0,国府津
29,2361,国府津,2021-11-30 01:49:00,2021-11-30 07:38:00,05-50-小田原-普通,19.5,国府津
30,527,鴨宮,2021-11-30 01:52:00,2021-11-30 07:41:00,05-50-小田原-普通,20.0,鴨宮
31,528,小田原,2021-11-30 01:57:00,,05-50-小田原-普通,21.0,小田原
32,888,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:17:00,06-18-小田原-普通,0.0,大宮(埼玉)
33,889,さいたま新都心,2021-11-30 00:03:00,2021-11-30 06:20:00,06-18-小田原-普通,1.0,さいたま新都心
34,2551,さいたま新都心,2021-11-30 00:04:00,2021-11-30 06:21:00,06-18-小田原-普通,1.5,さいたま新都心
35,890,浦和,2021-11-30 00:08:00,2021-11-30 06:25:00,06-18-小田原-普通,2.0,浦和
36,891,赤羽,2021-11-30 00:16:00,2021-11-30 06:33:00,06-18-小田原-普通,3.0,赤羽
37,892,尾久,2021-11-30 00:21:00,2021-11-30 06:38:00,06-18-小田原-普通,4.0,尾久/池袋
38,893,上野,2021-11-30 00:28:00,2021-11-30 06:45:00,06-18-小田原-普通,5.0,上野/新宿
39,2552,上野,2021-11-30 00:30:00,2021-11-30 06:47:00,06-18-小田原-普通,5.5,上野/新宿
40,894,東京,2021-11-30 00:35:00,2021-11-30 06:52:00,06-18-小田原-普通,6.0,東京/渋谷
41,2553,東京,2021-11-30 00:36:00,2021-11-30 06:53:00,06-18-小田原-普通,6.5,東京/渋谷
42,895,新橋,2021-11-30 00:38:00,2021-11-30 06:55:00,06-18-小田原-普通,7.0,新橋/恵比寿
43,2554,新橋,2021-11-30 00:39:00,2021-11-30 06:56:00,06-18-小田原-普通,7.5,新橋/恵比寿
44,896,品川,2021-11-30 00:44:00,2021-11-30 07:01:00,06-18-小田原-普通,8.0,品川/大崎
45,2555,品川,2021-11-30 00:45:00,2021-11-30 07:02:00,06-18-小田原-普通,8.5,品川/大崎
46,897,川崎,2021-11-30 00:54:00,2021-11-30 07:11:00,06-18-小田原-普通,9.0,川崎/武蔵小杉
47,898,横浜,2021-11-30 01:02:00,2021-11-30 07:19:00,06-18-小田原-普通,10.0,横浜
48,2556,横浜,2021-11-30 01:03:00,2021-11-30 07:20:00,06-18-小田原-普通,10.5,横浜
49,899,戸塚,2021-11-30 01:12:00,2021-11-30 07:29:00,06-18-小田原-普通,11.0,戸塚
50,2557,戸塚,2021-11-30 01:13:00,2021-11-30 07:30:00,06-18-小田原-普通,11.5,戸塚
51,900,大船,2021-11-30 01:18:00,2021-11-30 07:35:00,06-18-小田原-普通,12.0,大船
52,2558,大船,2021-11-30 01:19:00,2021-11-30 07:36:00,06-18-小田原-普通,12.5,大船
53,901,藤沢,2021-11-30 01:23:00,2021-11-30 07:40:00,06-18-小田原-普通,13.0,藤沢
54,902,辻堂,2021-11-30 01:27:00,2021-11-30 07:44:00,06-18-小田原-普通,14.0,辻堂
55,903,茅ケ崎,2021-11-30 01:31:00,2021-11-30 07:48:00,06-18-小田原-普通,15.0,茅ケ崎
56,2559,茅ケ崎,2021-11-30 01:32:00,2021-11-30 07:49:00,06-18-小田原-普通,15.5,茅ケ崎
57,904,平塚,2021-11-30 01:36:00,2021-11-30 07:53:00,06-18-小田原-普通,16.0,平塚
58,2560,平塚,2021-11-30 01:37:00,2021-11-30 07:54:00,06-18-小田原-普通,16.5,平塚
59,905,大磯,2021-11-30 01:40:00,2021-11-30 07:57:00,06-18-小田原-普通,17.0,大磯
