,Station,Arrive,Depart,Train,index
507,大宮(埼玉),2021-11-30 05:49:00,2021-11-30 05:49:00,05-50-小田原-普通,0.0
508,さいたま新都心,2021-11-30 05:52:00,2021-11-30 05:52:00,05-50-小田原-普通,1.0
2352,さいたま新都心,2021-11-30 05:53:00,2021-11-30 05:53:00,05-50-小田原-普通,1.5
509,浦和,2021-11-30 05:57:00,2021-11-30 05:57:00,05-50-小田原-普通,2.0
510,赤羽,2021-11-30 06:05:00,2021-11-30 06:05:00,05-50-小田原-普通,3.0
511,尾久,2021-11-30 06:10:00,2021-11-30 06:10:00,05-50-小田原-普通,4.0
512,上野,2021-11-30 06:16:00,2021-11-30 06:16:00,05-50-小田原-普通,5.0
2353,上野,2021-11-30 06:17:00,2021-11-30 06:17:00,05-50-小田原-普通,5.5
513,東京,2021-11-30 06:22:00,2021-11-30 06:22:00,05-50-小田原-普通,6.0
2354,東京,2021-11-30 06:23:00,2021-11-30 06:23:00,05-50-小田原-普通,6.5
514,新橋,2021-11-30 06:26:00,2021-11-30 06:26:00,05-50-小田原-普通,7.0
515,品川,2021-11-30 06:32:00,2021-11-30 06:32:00,05-50-小田原-普通,8.0
2355,品川,2021-11-30 06:33:00,2021-11-30 06:33:00,05-50-小田原-普通,8.5
516,川崎,2021-11-30 06:42:00,2021-11-30 06:42:00,05-50-小田原-普通,9.0
2356,川崎,2021-11-30 06:43:00,2021-11-30 06:43:00,05-50-小田原-普通,9.5
517,横浜,2021-11-30 06:51:00,2021-11-30 06:51:00,05-50-小田原-普通,10.0
2357,横浜,2021-11-30 06:52:00,2021-11-30 06:52:00,05-50-小田原-普通,10.5
518,戸塚,2021-11-30 07:02:00,2021-11-30 07:02:00,05-50-小田原-普通,11.0
519,大船,2021-11-30 07:07:00,2021-11-30 07:07:00,05-50-小田原-普通,12.0
2358,大船,2021-11-30 07:08:00,2021-11-30 07:08:00,05-50-小田原-普通,12.5
520,藤沢,2021-11-30 07:12:00,2021-11-30 07:12:00,05-50-小田原-普通,13.0
2359,藤沢,2021-11-30 07:13:00,2021-11-30 07:13:00,05-50-小田原-普通,13.5
521,辻堂,2021-11-30 07:16:00,2021-11-30 07:16:00,05-50-小田原-普通,14.0
522,茅ケ崎,2021-11-30 07:20:00,2021-11-30 07:20:00,05-50-小田原-普通,15.0
523,平塚,2021-11-30 07:25:00,2021-11-30 07:25:00,05-50-小田原-普通,16.0
524,大磯,2021-11-30 07:28:00,2021-11-30 07:28:00,05-50-小田原-普通,17.0
2360,大磯,2021-11-30 07:29:00,2021-11-30 07:29:00,05-50-小田原-普通,17.5
525,二宮,2021-11-30 07:33:00,2021-11-30 07:33:00,05-50-小田原-普通,18.0
526,国府津,2021-11-30 07:37:00,2021-11-30 07:37:00,05-50-小田原-普通,19.0
2361,国府津,2021-11-30 07:38:00,2021-11-30 07:38:00,05-50-小田原-普通,19.5
527,鴨宮,2021-11-30 07:41:00,2021-11-30 07:41:00,05-50-小田原-普通,20.0
528,小田原,2021-11-30 07:46:00,,05-50-小田原-普通,21.0
1344,大宮(埼玉),2021-11-30 06:06:00,2021-11-30 06:06:00,06-07-平塚-快速,0.0
1345,浦和,2021-11-30 06:13:00,2021-11-30 06:13:00,06-07-平塚-快速,1.0
1346,赤羽,2021-11-30 06:21:00,2021-11-30 06:21:00,06-07-平塚-快速,2.0
2806,赤羽,2021-11-30 06:22:00,2021-11-30 06:22:00,06-07-平塚-快速,2.5
1347,池袋,2021-11-30 06:33:00,2021-11-30 06:33:00,06-07-平塚-快速,3.0
2807,池袋,2021-11-30 06:34:00,2021-11-30 06:34:00,06-07-平塚-快速,3.5
1348,新宿,2021-11-30 06:39:00,2021-11-30 06:39:00,06-07-平塚-快速,4.0
2808,新宿,2021-11-30 06:40:00,2021-11-30 06:40:00,06-07-平塚-快速,4.5
1349,渋谷,2021-11-30 06:44:00,2021-11-30 06:44:00,06-07-平塚-快速,5.0
2809,渋谷,2021-11-30 06:45:00,2021-11-30 06:45:00,06-07-平塚-快速,5.5
1350,恵比寿,2021-11-30 06:47:00,2021-11-30 06:47:00,06-07-平塚-快速,6.0
1351,大崎,2021-11-30 06:51:00,2021-11-30 06:51:00,06-07-平塚-快速,7.0
2810,大崎,2021-11-30 06:52:00,2021-11-30 06:52:00,06-07-平塚-快速,7.5
1352,武蔵小杉,2021-11-30 06:59:00,2021-11-30 06:59:00,06-07-平塚-快速,8.0
2811,武蔵小杉,2021-11-30 07:00:00,2021-11-30 07:00:00,06-07-平塚-快速,8.5
1353,横浜,2021-11-30 07:10:00,2021-11-30 07:10:00,06-07-平塚-快速,9.0
1354,戸塚,2021-11-30 07:20:00,2021-11-30 07:20:00,06-07-平塚-快速,10.0
1355,大船,2021-11-30 07:25:00,2021-11-30 07:25:00,06-07-平塚-快速,11.0
2812,大船,2021-11-30 07:26:00,2021-11-30 07:26:00,06-07-平塚-快速,11.5
