,Station,Arrive,Depart,Train,index
3693,田端,2021-11-30 00:00:00,2021-12-01 00:04:00,00-04-大崎-普通,0.0
3694,西日暮里,2021-11-30 00:01:00,2021-12-01 00:05:00,00-04-大崎-普通,1.0
3695,日暮里,2021-11-30 00:03:00,2021-12-01 00:07:00,00-04-大崎-普通,2.0
3696,鶯谷,2021-11-30 00:05:00,2021-12-01 00:09:00,00-04-大崎-普通,3.0
3697,上野,2021-11-30 00:07:00,2021-12-01 00:11:00,00-04-大崎-普通,4.0
3698,御徒町,2021-11-30 00:09:00,2021-12-01 00:13:00,00-04-大崎-普通,5.0
3699,秋葉原,2021-11-30 00:11:00,2021-12-01 00:15:00,00-04-大崎-普通,6.0
3700,神田(東京),2021-11-30 00:12:00,2021-12-01 00:16:00,00-04-大崎-普通,7.0
3701,東京,2021-11-30 00:15:00,2021-12-01 00:19:00,00-04-大崎-普通,8.0
3702,有楽町,2021-11-30 00:16:00,2021-12-01 00:20:00,00-04-大崎-普通,9.0
3703,新橋,2021-11-30 00:19:00,2021-12-01 00:23:00,00-04-大崎-普通,10.0
3704,浜松町,2021-11-30 00:21:00,2021-12-01 00:25:00,00-04-大崎-普通,11.0
3705,田町(東京),2021-11-30 00:24:00,2021-12-01 00:28:00,00-04-大崎-普通,12.0
3706,高輪ゲートウェイ,2021-11-30 00:27:00,2021-12-01 00:31:00,00-04-大崎-普通,13.0
3707,品川,2021-11-30 00:29:00,2021-12-01 00:33:00,00-04-大崎-普通,14.0
3708,大崎,2021-11-30 00:31:00,,00-04-大崎-普通,15.0
3585,田端,2021-11-30 00:00:00,2021-12-01 00:08:00,00-08-大崎-普通,0.0
3586,西日暮里,2021-11-30 00:01:00,2021-12-01 00:09:00,00-08-大崎-普通,1.0
3587,日暮里,2021-11-30 00:03:00,2021-12-01 00:11:00,00-08-大崎-普通,2.0
3588,鶯谷,2021-11-30 00:05:00,2021-12-01 00:13:00,00-08-大崎-普通,3.0
3589,上野,2021-11-30 00:09:00,2021-12-01 00:17:00,00-08-大崎-普通,4.0
3590,御徒町,2021-11-30 00:10:00,2021-12-01 00:18:00,00-08-大崎-普通,5.0
3591,秋葉原,2021-11-30 00:12:00,2021-12-01 00:20:00,00-08-大崎-普通,6.0
3592,神田(東京),2021-11-30 00:14:00,2021-12-01 00:22:00,00-08-大崎-普通,7.0
3593,東京,2021-11-30 00:16:00,2021-12-01 00:24:00,00-08-大崎-普通,8.0
3594,有楽町,2021-11-30 00:18:00,2021-12-01 00:26:00,00-08-大崎-普通,9.0
3595,新橋,2021-11-30 00:20:00,2021-12-01 00:28:00,00-08-大崎-普通,10.0
3596,浜松町,2021-11-30 00:22:00,2021-12-01 00:30:00,00-08-大崎-普通,11.0
3597,田町(東京),2021-11-30 00:25:00,2021-12-01 00:33:00,00-08-大崎-普通,12.0
3598,高輪ゲートウェイ,2021-11-30 00:27:00,2021-12-01 00:35:00,00-08-大崎-普通,13.0
3599,品川,2021-11-30 00:29:00,2021-12-01 00:37:00,00-08-大崎-普通,14.0
3600,大崎,2021-11-30 00:32:00,,00-08-大崎-普通,15.0
950,田端,2021-11-30 00:00:00,2021-12-01 00:13:00,00-13-大崎-普通,0.0
951,西日暮里,2021-11-30 00:01:00,2021-12-01 00:14:00,00-13-大崎-普通,1.0
952,日暮里,2021-11-30 00:03:00,2021-12-01 00:16:00,00-13-大崎-普通,2.0
953,鶯谷,2021-11-30 00:05:00,2021-12-01 00:18:00,00-13-大崎-普通,3.0
954,上野,2021-11-30 00:07:00,2021-12-01 00:20:00,00-13-大崎-普通,4.0
955,御徒町,2021-11-30 00:09:00,2021-12-01 00:22:00,00-13-大崎-普通,5.0
956,秋葉原,2021-11-30 00:11:00,2021-12-01 00:24:00,00-13-大崎-普通,6.0
957,神田(東京),2021-11-30 00:12:00,2021-12-01 00:25:00,00-13-大崎-普通,7.0
958,東京,2021-11-30 00:15:00,2021-12-01 00:28:00,00-13-大崎-普通,8.0
959,有楽町,2021-11-30 00:17:00,2021-12-01 00:30:00,00-13-大崎-普通,9.0
960,新橋,2021-11-30 00:19:00,2021-12-01 00:32:00,00-13-大崎-普通,10.0
961,浜松町,2021-11-30 00:21:00,2021-12-01 00:34:00,00-13-大崎-普通,11.0
962,田町(東京),2021-11-30 00:25:00,2021-12-01 00:38:00,00-13-大崎-普通,12.0
963,高輪ゲートウェイ,2021-11-30 00:27:00,2021-12-01 00:40:00,00-13-大崎-普通,13.0
964,品川,2021-11-30 00:29:00,2021-12-01 00:42:00,00-13-大崎-普通,14.0
965,大崎,2021-11-30 00:32:00,,00-13-大崎-普通,15.0
3782,田端,2021-11-30 00:00:00,2021-12-01 00:17:00,00-17-大崎-普通,0.0
3783,西日暮里,2021-11-30 00:02:00,2021-12-01 00:19:00,00-17-大崎-普通,1.0
3784,日暮里,2021-11-30 00:03:00,2021-12-01 00:20:00,00-17-大崎-普通,2.0
3785,鶯谷,2021-11-30 00:05:00,2021-12-01 00:22:00,00-17-大崎-普通,3.0
3786,上野,2021-11-30 00:08:00,2021-12-01 00:25:00,00-17-大崎-普通,4.0
3787,御徒町,2021-11-30 00:10:00,2021-12-01 00:27:00,00-17-大崎-普通,5.0
3788,秋葉原,2021-11-30 00:12:00,2021-12-01 00:29:00,00-17-大崎-普通,6.0
