,Unnamed: 0,Station,Arrive,Depart,Train
0,0,東京,,2021-11-22 10:16:00,10-16-八王子-快速
1,1,神田(東京),2021-11-22 10:18:00,2021-11-22 10:18:00,10-16-八王子-快速
2,2,御茶ノ水,2021-11-22 10:20:00,2021-11-22 10:20:00,10-16-八王子-快速
3,3,四ツ谷,2021-11-22 10:25:00,2021-11-22 10:25:00,10-16-八王子-快速
4,4,新宿,2021-11-22 10:31:00,2021-11-22 10:31:00,10-16-八王子-快速
5,5,中野(東京),2021-11-22 10:36:00,2021-11-22 10:36:00,10-16-八王子-快速
6,6,高円寺,2021-11-22 10:37:00,2021-11-22 10:37:00,10-16-八王子-快速
7,7,阿佐ケ谷,2021-11-22 10:39:00,2021-11-22 10:39:00,10-16-八王子-快速
8,8,荻窪,2021-11-22 10:41:00,2021-11-22 10:41:00,10-16-八王子-快速
9,9,西荻窪,2021-11-22 10:44:00,2021-11-22 10:44:00,10-16-八王子-快速
10,10,吉祥寺,2021-11-22 10:46:00,2021-11-22 10:46:00,10-16-八王子-快速
11,11,三鷹,2021-11-22 10:52:00,2021-11-22 10:52:00,10-16-八王子-快速
12,12,武蔵境,2021-11-22 10:54:00,2021-11-22 10:54:00,10-16-八王子-快速
13,13,東小金井,2021-11-22 10:56:00,2021-11-22 10:56:00,10-16-八王子-快速
14,14,武蔵小金井,2021-11-22 10:59:00,2021-11-22 10:59:00,10-16-八王子-快速
15,15,国分寺,2021-11-22 11:05:00,2021-11-22 11:05:00,10-16-八王子-快速
16,16,西国分寺,2021-11-22 11:07:00,2021-11-22 11:07:00,10-16-八王子-快速
17,17,国立,2021-11-22 11:09:00,2021-11-22 11:09:00,10-16-八王子-快速
18,18,立川,2021-11-22 11:15:00,2021-11-22 11:15:00,10-16-八王子-快速
19,19,日野(東京),2021-11-22 11:18:00,2021-11-22 11:18:00,10-16-八王子-快速
20,20,豊田,2021-11-22 11:26:00,2021-11-22 11:26:00,10-16-八王子-快速
21,21,八王子,2021-11-22 11:31:00,,10-16-八王子-快速
22,0,東京,,2021-11-22 20:47:00,20-47-豊田-快速
23,1,神田(東京),2021-11-22 20:49:00,2021-11-22 20:49:00,20-47-豊田-快速
24,2,御茶ノ水,2021-11-22 20:51:00,2021-11-22 20:51:00,20-47-豊田-快速
25,3,四ツ谷,2021-11-22 20:56:00,2021-11-22 20:56:00,20-47-豊田-快速
26,4,新宿,2021-11-22 21:02:00,2021-11-22 21:02:00,20-47-豊田-快速
27,5,中野(東京),2021-11-22 21:06:00,2021-11-22 21:06:00,20-47-豊田-快速
28,6,高円寺,2021-11-22 21:08:00,2021-11-22 21:08:00,20-47-豊田-快速
29,7,阿佐ケ谷,2021-11-22 21:10:00,2021-11-22 21:10:00,20-47-豊田-快速
30,8,荻窪,2021-11-22 21:12:00,2021-11-22 21:12:00,20-47-豊田-快速
31,9,西荻窪,2021-11-22 21:14:00,2021-11-22 21:14:00,20-47-豊田-快速
32,10,吉祥寺,2021-11-22 21:16:00,2021-11-22 21:16:00,20-47-豊田-快速
33,11,三鷹,2021-11-22 21:23:00,2021-11-22 21:23:00,20-47-豊田-快速
34,12,武蔵境,2021-11-22 21:25:00,2021-11-22 21:25:00,20-47-豊田-快速
35,13,東小金井,2021-11-22 21:27:00,2021-11-22 21:27:00,20-47-豊田-快速
36,14,武蔵小金井,2021-11-22 21:30:00,2021-11-22 21:30:00,20-47-豊田-快速
37,15,国分寺,2021-11-22 21:33:00,2021-11-22 21:33:00,20-47-豊田-快速
38,16,西国分寺,2021-11-22 21:35:00,2021-11-22 21:35:00,20-47-豊田-快速
39,17,国立,2021-11-22 21:37:00,2021-11-22 21:37:00,20-47-豊田-快速
40,18,立川,2021-11-22 21:41:00,2021-11-22 21:41:00,20-47-豊田-快速
41,19,日野(東京),2021-11-22 21:44:00,2021-11-22 21:44:00,20-47-豊田-快速
42,20,豊田,2021-11-22 21:47:00,,20-47-豊田-快速
43,0,東京,,2021-11-22 16:05:00,16-05-高尾-快速
44,1,神田(東京),2021-11-22 16:07:00,2021-11-22 16:07:00,16-05-高尾-快速
45,2,御茶ノ水,2021-11-22 16:09:00,2021-11-22 16:09:00,16-05-高尾-快速
46,3,四ツ谷,2021-11-22 16:14:00,2021-11-22 16:14:00,16-05-高尾-快速
47,4,新宿,2021-11-22 16:19:00,2021-11-22 16:19:00,16-05-高尾-快速
48,5,中野(東京),2021-11-22 16:23:00,2021-11-22 16:23:00,16-05-高尾-快速
